year,gender,lead,correlation
1946,M,3,0.9812252964426876
1947,F,1,0.9730434782608693
1947,M,1,0.9930769230769231
1947,F,2,0.9357707509881423
1947,M,2,0.9826086956521738
1947,F,3,0.8735177865612648
1947,M,3,0.9436758893280632
1948,F,1,0.9713438735177865
1948,M,1,0.9869565217391303
1948,F,2,0.9085262563523432
1948,M,2,0.9525691699604744
1948,F,3,0.8932330827067669
1948,M,3,0.9199604743083004
1949,F,1,0.9260869565217389
1949,M,1,0.9826086956521738
1949,F,2,0.8633540372670807
1949,M,2,0.9539130434782608
1949,F,3,0.8486730660643703
1949,M,3,0.9011857707509882
1950,F,1,0.9664031620553359
1950,M,1,0.99
1950,F,2,0.9456521739130435
1950,M,2,0.9591304347826086
1950,F,3,0.8294748729531337
1950,M,3,0.9026086956521738
1951,F,1,0.9476923076923077
1951,M,1,0.9799999999999999
1951,F,2,0.8448616600790515
1951,M,2,0.9382608695652173
1951,F,3,0.789949181253529
1951,M,3,0.917391304347826
1952,F,1,0.9347826086956522
1952,M,1,0.977391304347826
1952,F,2,0.9130434782608695
1952,M,2,0.9599999999999999
1952,F,3,0.8825522303783173
1952,M,3,0.9160079051383399
1953,F,1,0.9871541501976284
1953,M,1,0.9876923076923078
1953,F,2,0.9683794466403163
1953,M,2,0.9599999999999999
1953,F,3,0.9311123658949744
1953,M,3,0.9664031620553359
1954,F,1,0.9792307692307692
1954,M,1,0.9730434782608693
1954,F,2,0.954782608695652
1954,M,2,0.9723320158102766
1954,F,3,0.9071146245059288
1954,M,3,0.9525691699604744
1955,F,1,0.9826086956521738
1955,M,1,0.9843478260869564
1955,F,2,0.9328063241106719
1955,M,2,0.9843478260869564
1955,F,3,0.8636363636363636
1955,M,3,0.9322416713721061
1956,F,1,0.9608695652173911
1956,M,1,0.99
1956,F,2,0.8961038961038961
1956,M,2,0.9456521739130435
1956,F,3,0.8814229249011856
1956,M,3,0.8705533596837945
1957,F,1,0.9469226425748164
1957,M,1,0.9624505928853755
1957,F,2,0.9308300395256918
1957,M,2,0.8982213438735178
1957,F,3,0.9181818181818182
1957,M,3,0.8610954263128175
1958,F,1,0.9260869565217389
1958,M,1,0.9600000000000001
1958,F,2,0.8193111236589498
1958,M,2,0.9365217391304347
1958,F,3,0.6727272727272727
1958,M,3,0.8878260869565215
1959,F,1,0.9486166007905138
1959,M,1,0.9886956521739129
1959,F,2,0.8636363636363636
1959,M,2,0.9599999999999999
1959,F,3,0.8368421052631579
1959,M,3,0.8721739130434781
1960,F,1,0.9426877470355732
1960,M,1,0.9746153846153847
1960,F,2,0.8649350649350649
1960,M,2,0.9053846153846153
1960,F,3,0.7298701298701299
1960,M,3,0.8938461538461538
1961,F,1,0.9545454545454545
1961,M,1,0.9661538461538463
1961,F,2,0.8339920948616601
1961,M,2,0.9507692307692308
1961,F,3,0.6909090909090909
1961,M,3,0.9652173913043477
1962,F,1,0.8938461538461538
1962,M,1,0.9838461538461538
1962,F,2,0.735742518351214
1962,M,2,0.9808695652173911
1962,F,3,0.6857142857142857
1962,M,3,0.9604743083003953
1963,F,1,0.8938452851496329
1963,M,1,0.9913043478260869
1963,F,2,0.7974025974025973
1963,M,2,0.974308300395257
1963,F,3,0.5562435500515996
1963,M,3,0.9357707509881423
1964,F,1,0.8784584980237153
1964,M,1,0.9713043478260869
1964,F,2,0.5729323308270677
1964,M,2,0.8939130434782608
1964,F,3,0.3890608875128999
1964,M,3,0.8208695652173912
1965,F,1,0.7312252964426876
1965,M,1,0.956923076923077
1965,F,2,0.4917293233082706
1965,M,2,0.9084615384615385
1965,F,3,0.2714138286893705
1965,M,3,0.8965217391304348
1966,F,1,0.7955957086391869
1966,M,1,0.9784615384615385
1966,F,2,0.6571428571428571
1966,M,2,0.9739130434782608
1966,F,3,0.5753246753246752
1966,M,3,0.924901185770751
1967,F,1,0.8745059288537549
1967,M,1,0.9913043478260869
1967,F,2,0.7954545454545455
1967,M,2,0.9545454545454545
1967,F,3,0.7
1967,M,3,0.9051383399209485
1968,F,1,0.9017391304347825
1968,M,1,0.9791304347826086
1968,F,2,0.7608695652173914
1968,M,2,0.9417391304347825
1968,F,3,0.7041219649915301
1968,M,3,0.8956521739130433
1969,F,1,0.9189723320158103
1969,M,1,0.9223076923076924
1969,F,2,0.8610954263128175
1969,M,2,0.8353846153846154
1969,F,3,0.7654135338345865
1969,M,3,0.6443478260869565
1970,F,1,0.9339130434782608
1970,M,1,0.9684615384615386
1970,F,2,0.7684923771880293
1970,M,2,0.7999999999999999
1970,F,3,0.7176736307171089
1970,M,3,0.7295652173913043
1971,F,1,0.8586956521739131
1971,M,1,0.9017391304347825
1971,F,2,0.7628458498023716
1971,M,2,0.8252173913043477
1971,F,3,0.6467532467532467
1971,M,3,0.7875494071146245
1972,F,1,0.9192307692307692
1972,M,1,0.956923076923077
1972,F,2,0.8171936758893281
1972,M,2,0.9367588932806324
1972,F,3,0.8064935064935065
1972,M,3,0.9426877470355732
